ID,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
273,Queensland,Australia,-27.4698,153.0251,2020/01/23,0,0,0,0,Western Pacific
274,South Australia,Australia,-34.9285,138.6007,2020/01/23,0,0,0,0,Western Pacific
275,Tasmania,Australia,-42.8821,147.3272,2020/01/23,0,0,0,0,Western Pacific
276,Victoria,Australia,-37.8136,144.9631,2020/01/23,0,0,0,0,Western Pacific
277,Western Australia,Australia,-31.9505,115.8605,2020/01/23,0,0,0,0,Western Pacific
278,,,,,,,,,,
279,,Azerbaijan,40.1431,47.5769,2020/01/23,0,0,0,0,Europe
280,,Bahamas,25.025885,-78.035889,2020/01/23,0,0,0,0,Americas
281,,Bahrain,26.0275,50.55,2020/01/23,0,0,83042,0,Eastern Mediterranean
282,,Bangladesh,23.685,90.3563,2020/01/23,0,0,0,0,South-East Asia
283,,Barbados,13.1939,-59.5432,2020/01/23,0,0,0,0,Americas
284,,Belarus,53.7098,27.9534,2020/01/23,0,0,0,0,Europe
285,,Belgium,50.8333,4.469936,2020/01/23,0,0,0,0,Europe
286,,Benin,9.3077,2.3158,2020/01/23,0,0,0,0,Africa
287,,Bhutan,27.5142,90.4336,2020/01/23,0,0,0,0,South-East Asia
288,,Bolivia,-16.2902,-63.5887,2020/01/23,0,0,0,0,Americas
289,,Bosnia and Herzegovina,43.9159,17.6791,2020/01/23,0,0,0,0,Europe
290,,Brazil,-14.235,-51.9253,2020/01/23,0,0,0,0,Americas
291,,Brunei,4.5353,114.7277,2020/01/23,0,0,0,0,Western Pacific
292,,Bulgaria,42.7339,25.4858,2020/01/23,0,!0,0,0,Europe
293,,Burkina Faso,12.2383,-1.5616,2020/01/23,0,0,0,0,Africa
294,,Cabo Verde,16.5388,-23.0418,2020/01/23,0,0,0,0,Africa
295,,Cambodia,11.55,104.9167,2020/01/23,0,0,0,0,Western Pacific
296,,Cameroon,3.848,11.5021,2020/01/23,0,0,0,0,Africa
297,Alberta,Canada,53.9333,-116.5765,2020/01/23,0,0,0,0,Americas
298,British Columbia,Canada,53.7267,-127.6476,2020/01/23,0,0,0,0,Americas
299,Manitoba,Canada,53.7609,-98.8139,2020/01/23,0,0,0,0,Americas
300,New Brunswick,Canada,46.5653,-66.4619,2020/01/23,0,0,0,0,Americas
301,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020/01/23,0,Zero,0,0,Americas
302,Nova Scotia,Canada,44.682,-63.7443,2020/01/23,0,0,0,0,Americas
303,Ontario,Canada,51.2538,-85.3232,2020/01/23,0,0,0,0,Americas
304,Prince Edward Island,Canada,46.5107,-63.4168,2020/01/23,0,0,0,0,Americas
305,Quebec,Canada,52.9399,-73.5491,2020/01/23,0,0,0,0,Americas
306,Saskatchewan,Canada,52.9399,-106.4509,2020/01/23,0,0,0,0,Americas
307,,Central African Republic,6.6111,20.9394,2020/01/23,0,0,0,0,Africa
308,,Chad,15.4542,18.7322,2020/01/23,0,0,0,0,Africa
309,,Chile,-35.6751,-71.543,2020/01/23,0,Zero,0,0,Americas
310,Anhui,China,31.8257,117.2264,2020/01/23,9,0,0,9,Western Pacific
311,Beijing,China,40.1824,116.4142,2020/01/23,22,0,0,22,Western Pacific
312,Chongqing,China,30.0572,107.874,2020/01/23,9,0,0,9,Western Pacific
313,Fujian,China,26.0789,117.9874,2020/01/23,5,0,0,5,Western Pacific
314,Gansu,China,35.7518,104.2861,2020/01/23,2,0,0,2,Western Pacific
315,Guangdong,China,23.3417,113.4244,2020/01/23,32,0,2,30,Western Pacific
316,Guangxi,China,23.8298,108.7881,2020/01/23,5,0,0,447,Western Pacific
317,Guizhou,China,26.8154,106.8748,2020/01/23,III,0,0,3,Western Pacific
318,Hainan,China,19.1959,109.7453,2020/01/23,5,0,0,5,Western Pacific
319,Hebei,China,39.549,116.1306,2020/01/23,1,1,0,0,Western Pacific
320,Heilongjiang,China,47.862,127.7615,2020/01/23,2,0,0,2,Western Pacific
321,Henan,China,37.8957,114.9042,2020/01/23,5,0,0,5,Western Pacific
322,Hong Kong,China,22.3,114.2,2020/01/23,2,0,0,2,Western Pacific
323,Hubei,China,30.9756,112.2707,2020/01/23,444,17,28,CCCXCIX,Western Pacific
324,Hunan,China,27.6104,111.7088,2020/01/23,9,0,0,9,Western Pacific
325,Inner Mongolia,China,44.0935,113.9448,2020/01/23,0,0,0,0,Western Pacific
326,Jiangsu,China,32.9711,119.455,2020/01/23,5,0,0,5,Western Pacific
327,Jiangxi,China,27.614,115.7221,2020/01/23,7,0,0,7,Western Pacific
328,Jilin,China,43.6661,126.1923,2020/01/23,1,0,0,1,Western Pacific
329,Liaoning,China,41.2956,122.6085,2020/01/23,3,0,0,3,Western Pacific
330,Macau,China,22.1667,113.55,2020/01/23,2,0,0,2,Western Pacific
331,Ningxia,hCina,37.2692,106.1655,2020/01/23,1,0,0,1,Western Pacific
332,Qinghai,China,35.7452,95.9956,2020/01/23,0,0,0,0,Western Pacific
333,Shaanxi,China,35.1917,108.8701,2020/01/23,3,0,0,3,Western P acific
334,Shandong,China,36.3427,118.1498,2020/01/23,6,0,0,6,Western Pacific
335,Shanghai,China,31.202,121.4491,2020/01/23,16,0,0,16,Western Pacific
336,Shanxi,China,37.5777,112.2922,2020/01/23,1,0,0,1,Western Pacific
337,Sichuan,China,30.6171,102.7103,2020/01/23,8,0,0,8,Western Pacific
338,Tianjin,China,39.3054,117.323,2020/01/23,4,0,0,4,Western Pacific
339,Tibet,China,31.6927,88.0924,2020/01/23,0,0,0,0,Western Pacific
340,Xinjiang,China,41.1129,85.2401,2020/01/23,2,0,0,2,Western Pacific
